price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax,ageYears,h3Cell,assessedValue,salePrice,saleDate,timeAdjustmentFactor,bedroomsImputed,price_to_assessed
231999.99999999997,12.354492650648448,43.95604395604395,Detached,B2V2P9,B2V,cluster-01,5278.0,5.0,4,44.651293,-63.474682,-2834.2266240638264,1993.7379665718493,4029.035255001125,,4.0,882b0c5b19fffff,1009300,200000.0,2022-03-09,1.16,False,0.22986228078866539
533466.6,13.18715174232834,55.29297263681592,Detached,B4B0H4,B4B,cluster-06,9648.0,6.0,3,44.770804,-63.757411,-2854.4705514284437,2004.424890806416,4065.0074574229207,,3.0,882b0e9233fffff,2482500,459885.0,2022-03-10,1.16,False,0.2148908761329305
193430.0,12.172670968896144,54.06092789267747,Detached,B2T0M5,B2T,cluster-06,3578.0,6.0,3,44.822499,-63.645661,-2852.757576526839,2009.056416605001,4050.770164126921,,4.0,882b01289dfffff,1272700,166750.0,2022-03-15,1.16,False,0.15198397108509468
197200.0,12.191973721150672,41.04912572855953,Detached,B4B0H3,B4B,cluster-06,4804.0,4.0,3,44.772762,-63.760029,-2854.712603530098,2004.600217108644,4065.341298080841,,3.0,882b0e9237fffff,1469300,170000.0,2022-03-16,1.16,False,0.13421357108827334
191400.0,12.162120758000992,51.729729729729726,Detached,B2Z1K1,B2Z,cluster-08,3700.0,5.0,4,44.694342,-63.387102,-2833.0448151768837,1997.584206812964,4017.924699958404,,3.0,882b0125dbfffff,878500,165000.0,2022-03-17,1.16,False,0.21787137165623222
348000.0,12.759957758756611,113.61410381978452,Detached,B3Z0W1,B3Z,cluster-07,3063.0,3.0,4,44.652226,-63.969931,-2856.399816216406,1993.821286755076,4092.1520721447614,,3.0,882b0e802dfffff,1676000,300000.0,2022-03-21,1.16,False,0.20763723150357996
203000.0,12.220961258023925,74.19590643274854,Detached,B0J2R0,B0J,cluster-05,2736.0,3.0,3,44.896205,-62.418949,-2802.373930188545,2015.6692234020252,3896.125194264601,,2.0,882b2a60e1fffff,794200,175000.0,2022-03-22,1.16,False,0.2556031226391337
191400.0,12.162120758000992,67.58474576271186,Detached,B4B0H3,B4B,cluster-06,2832.0,4.0,3,44.770772,-63.759533,-2854.563514769476,2004.422025475984,4065.278048378089,,4.0,882b0e9059fffff,1130600,165000.0,2022-03-24,1.16,False,0.16929064213691844
254039.99999999997,12.44524701391691,80.01259842519684,Detached,B3T0L2,B3T,cluster-02,3175.0,4.0,4,44.639325,-63.724468,-2844.6172375041,1992.669336455625,4060.807821883024,,4.0,882b0e946bfffff,960200,219000.0,2022-03-24,1.16,False,0.2645698812747344
191400.0,12.162120758000992,70.00731528895392,Detached,B4B0H3,B4B,cluster-06,2734.0,3.0,3,44.770305,-63.760144,-2854.56109372392,2004.380209793025,4065.355962900735,,4.0,882b0e9059fffff,1136300,165000.0,2022-03-24,1.16,False,0.16844143272023232
257850.6,12.46013562641066,71.03322314049586,Detached,B3T0L2,B3T,cluster-02,3630.0,4.0,4,44.640467,-63.724302,-2844.682600529034,1992.771293978089,4060.786665387204,,4.0,882b0e946bfffff,988000,222285.0,2022-03-25,1.16,False,0.2609823886639676
203000.0,12.220961258023925,48.79807692307692,Detached,B3E0B1,B3E,cluster-08,4160.0,3.0,3,44.750994,-63.329359,-2834.051764632846,2002.651463988036,4010.60771135088,,3.0,882b01244bfffff,1256900,175000.0,2022-03-31,1.16,False,0.16150847322778264
110476.19047619047,11.61255530591907,80.99427454266164,Detached,B2Y2X2,B2Y,cluster-11,1364.0,4.0,1,44.670773,-63.565585,-2839.523818147205,1995.4779604175287,4040.583596392225,,86.0,882b012c91fffff,480100,100000.0,2022-04-01,1.1047619047619048,False,0.2301107904107279
185489.52380952385,12.130753684014474,53.133636152828366,Detached,B2V0B1,B2V,cluster-01,3491.0,3.0,3,44.646529,-63.464329,-2833.462005164041,1993.312551747841,4027.721055420241,,4.0,882b0c5a25fffff,927000,167900.0,2022-04-01,1.1047619047619048,False,0.20009657368880673
196923.80952380953,12.190572179225384,91.25292378304428,Detached,B3Z0P8,B3Z,cluster-07,2158.0,4.0,4,44.722396,-63.88965,-2857.2982276014004,2000.0927039808164,4081.8873771225,,1.0,882b0e91bdfffff,826200,178250.0,2022-04-07,1.1047619047619048,False,0.23834883747737778
342476.1904761905,12.74395741741017,67.73658830620856,Detached,,,cluster-07,5056.0,5.0,6,44.668043,-63.976626,-2857.710681162918,1995.234065449849,4093.008674343877,,3.0,882b0e8159fffff,2181900,310000.0,2022-04-12,1.1047619047619048,False,0.1569623678794585
254095.2380952381,12.445464428854171,64.3279083785413,Detached,B2T0M4,B2T,cluster-06,3950.0,4.0,4,44.819554,-63.642268,-2852.418067308472,2008.792420758916,4050.338276183824,,3.0,882b012899fffff,1247300,230000.0,2022-04-13,1.1047619047619048,False,0.20371621750600347
110255.2380952381,11.610553303248397,41.30956841335261,Detached,B0J2L0,B0J,cluster-03,2669.0,2.0,3,44.720303,-63.082756,-2821.0799623950684,1999.905500411809,3979.4341045555366,,2.0,882b0ccae5fffff,905900,99800.0,2022-04-21,1.1047619047619048,False,0.12170795683324662
193140.0,12.171170593520907,88.35315645013723,Detached,B2T1J1,B2T,cluster-06,2186.0,3.0,3,44.817695,-63.614989,-2851.077174430355,2008.6257851130251,4046.866825470121,,1.0,882b012f2dfffff,768400,174825.0,2022-04-28,1.1047619047619048,False,0.2513534617386778
353523.8095238095,12.77570611572475,130.692720711205,Detached,B3P0G5,B3P,cluster-04,2705.0,4.0,5,44.624515,-63.593601,-2837.833601728515,1991.3473389852252,4044.1460881472008,,3.0,882b0c593dfffff,1233600,320000.0,2022-04-29,1.1047619047619048,False,0.28657896362176516
254095.2380952381,12.445464428854171,88.44247758274908,Detached,B3T0L2,B3T,cluster-02,2873.0,3.0,4,44.641403,-63.72384,-2844.72162214752,1992.8548618084087,4060.7277843456,,4.0,882b0e946bfffff,1076700,230000.0,2022-04-29,1.1047619047619048,False,0.23599446279858652
101638.09523809524,11.52917369698002,44.383447702225,Detached,B3Z2N4,B3Z,cluster-07,2290.0,3.0,3,44.659444,-63.899178,-2853.701761537032,1994.465938389136,4083.104949075684,,2.0,882b0e8235fffff,696500,92000.0,2022-05-05,1.1047619047619048,False,0.14592691347895942
220952.38095238095,12.305702486479015,94.10237689624402,Detached,B4B0H3,B4B,cluster-06,2348.0,3.0,2,44.771697,-63.760632,-2854.671696432504,2004.5048522598092,4065.418193039424,,3.0,882b0e9237fffff,827800,200000.0,2022-05-10,1.1047619047619048,False,0.2669151738975368
116989.86666666668,11.669842600342449,56.92937550689376,Detached,B2V2N1,B2V,cluster-01,2055.0,3.0,1,44.666731,-63.501234,-2836.392537246054,1995.1168582263608,4032.406719522756,,37.0,882b0c5b01fffff,449900,105896.0,2022-05-13,1.1047619047619048,True,0.26003526709639185
