market,severity,rowIndex,reasons,price,livingAreaSqft,bedrooms,bathrooms,postalCode,propertyType,propertyTax,ageYears
halifax,soft,15565,zero_baths,152631.57894736843,1102.0,3.0,0.0,B2Z1R1,Detached,,
halifax,soft,15706,missing_postal,440019.5438596491,725.0,3.0,1.0,,Detached,,
halifax,soft,15740,missing_postal,407017.5438596491,1591.0,3.0,3.0,,Detached,,51.0
halifax,soft,15908,age_gt_150,419228.0701754386,1453.0,3.0,1.0,B2Y3P6,Detached,,176.0
halifax,soft,15919,missing_postal,1016526.3157894736,2761.0,4.0,4.0,,Detached,,9.0
halifax,soft,16151,zero_baths,203508.77192982455,750.0,3.0,0.0,B0J1N0,Detached,,49.0
halifax,soft,16210,zero_baths|missing_postal,203407.0175438597,412.0,1.0,0.0,,Detached,,19.0
halifax,soft,16322,missing_postal,533392.8571428572,1486.0,3.0,2.0,,Detached,,1.0
halifax,soft,16382,missing_postal,890714.2857142858,3514.0,7.0,3.0,,Detached,,27.0
halifax,soft,16543,age_gt_150,1346428.5714285716,3036.0,4.0,3.0,B3K2Y8,Detached,,156.0
halifax,soft,16552,zero_baths,134642.85714285716,460.0,3.0,0.0,B0J3H0,Detached,,53.0
halifax,soft,16583,age_gt_150,890714.2857142858,3007.0,6.0,3.0,B3H2S8,Duplex,,154.0
halifax,soft,16804,missing_postal,673214.2857142858,2158.0,3.0,1.0,,Detached,,48.0
halifax,soft,16819,zero_baths,238214.28571428577,672.0,3.0,0.0,B0J2L0,Detached,,
halifax,soft,16838,zero_baths,362500.00000000006,656.0,3.0,0.0,B3V1K9,Detached,,
halifax,soft,16948,zero_baths,321071.4285714286,1013.0,3.0,0.0,B0J2L0,Detached,,
halifax,soft,17350,age_gt_150,1334873.8330714484,3360.0,4.0,5.0,B3H1S3,Detached,,166.0
halifax,soft,17374,zero_baths,166189.111747851,480.0,3.0,0.0,B3V1L6,Detached,,
halifax,soft,17423,age_gt_150,278768.83260929846,2452.0,5.0,2.0,B2Y1N5,Detached,,179.0
halifax,soft,17573,zero_baths,428875.1270912285,300.0,1.0,0.0,B3T0G2,Detached,,65.0
halifax,soft,17640,missing_postal,443725.2173913043,844.0,3.0,1.0,,Detached,,36.0
halifax,soft,17762,zero_baths,352034.7826086956,464.0,3.0,0.0,B0J1Y0,Detached,,
halifax,soft,17818,missing_postal,300000.0,819.0,3.0,1.0,,Detached,,
halifax,soft,17843,zero_baths,645000.0,2285.0,3.0,0.0,B2T1E8,Detached,,39.0
