price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax
569900.0,13.25321618582309,829.5487627365357,Condo,V5P4X1,V5P,cluster-04,687.0,1.0,1.0,49.2065576,-123.0651428,-6055.612037740425,2421.2853108421173,15145.029372384393,1632.0
5280000.0,15.479436655682445,2275.862068965517,Condo,V6C0B2,V6C,cluster-01,2320.0,2.0,3.0,49.2880558,-123.1168602,-6068.1906754584,2429.312444543914,15157.761265506346,17963.0
1650000.0,14.316285845876763,960.978450786255,Detached,V5R1M6,V5R,cluster-08,1717.0,3.0,2.0,49.2472611,-123.0246124,-6058.625208589097,2425.2927258515733,15135.055256170233,7107.0
499000.0,13.120361374733656,811.3821138211382,Condo,V6P2Y9,V6P,cluster-00,615.0,1.0,1.0,49.2087894,-123.1362926,-6059.387890050179,2421.5049542135525,15162.546555272816,1380.0
1799000.0,14.40274151293267,884.464110127827,Detached,V5W3S2,V5W,cluster-10,2034.0,6.0,2.0,49.2314391,-123.0780782,-6059.310911448338,2423.734595857009,15148.213333405314,7826.0
758800.0,13.539493517042995,1611.04033970276,Condo,V6T1W5,V6T,cluster-07,471.0,0.0,1.0,49.2518259,-123.2375802,-6069.675844347687,2425.7423544839107,15187.50117355143,
872000.0,13.678544702891116,1151.9154557463673,Condo,V5Y0E8,V5Y,cluster-05,757.0,1.0,1.0,49.267624,-123.1140825,-6065.53832571498,2427.298774605376,15157.077309816805,2725.0
1998000.0,14.507657238190635,1486.607142857143,Townhouse,V6K3J8,V6K,cluster-06,1344.0,2.0,2.0,49.2694094,-123.1579127,-6067.91762166576,2427.4747026248083,15167.871460620821,5616.0
2388000.0,14.685966753494629,1000.8382229673093,Townhouse,V6T2L5,V6T,cluster-07,2386.0,3.0,4.0,49.2725854,-123.2491114,-6072.802366930613,2427.787672000293,15190.343460889611,3384.0
930000.0,13.742939865129438,902.0368574199806,Condo,V6H1S5,V6H,cluster-06,1031.0,2.0,1.0,49.2575388,-123.138386,-6065.4938261643765,2426.3051286335053,15163.062106684994,2521.0
1748800.0,14.374440396404411,889.069649211998,Detached,V5K1K2,V5K,cluster-02,1967.0,4.0,2.0,49.2879816,-123.04838,-6064.806289349808,2429.305130201939,15140.903820624399,7161.0
579000.0,13.269057756555132,986.3713798977853,Condo,V6B6E4,V6B,cluster-01,587.0,1.0,1.0,49.2765255,-123.122747,-6067.061182175548,2428.17596535215,15159.21082882601,1766.0
430000.0,12.971540487669746,763.765541740675,Condo,V6A0B2,V6A,cluster-05,563.0,1.0,1.0,49.2829676,-123.100636,-6066.764655527393,2428.8108954626496,15153.766583604494,1369.0
3588000.0,15.093105502160824,1367.899351887152,Detached,V6L1V9,V6L,cluster-03,2623.0,4.0,4.0,49.2492314,-123.175098,-6066.2789041196775,2425.486793490746,15172.104767309605,11104.0
880000.0,13.687677186454389,823.9700374531835,Townhouse,V6A1L8,V6A,cluster-05,1068.0,2.0,3.0,49.2823994,-123.0921454,-6066.2762726056735,2428.7548906211205,15151.676259174743,2701.0
2845000.0,14.861073625542568,1354.1170871013803,Duplex,V6R2V8,V6R,cluster-03,2101.0,5.0,4.0,49.2594627,-123.1787611,-6067.7195878376615,2426.494665492691,15173.007186130873,6700.0
748888.0,13.526344718607946,1269.3016949152543,Condo,V6J0H1,V6J,cluster-06,590.0,1.0,1.0,49.2629284,-123.15147,-6066.802048964748,2426.8361145435265,15166.284563160902,2250.0
2699000.0,14.808391892000142,747.2314507198228,Detached,V5R1L6,V5R,cluster-08,3612.0,10.0,8.0,49.2468154,-123.0393349,-6059.295412759077,2425.2488270416775,15138.677932634359,7966.0
616888.0,13.332442762909329,1166.13988657845,Condo,V5R0E4,V5R,cluster-08,529.0,1.0,1.0,49.232991,-123.023952,-6056.837121600432,2423.887402806081,15134.892765698303,1754.0
1849000.0,14.430155510369262,874.6452223273416,Detached,V5K2S9,V5K,cluster-02,2114.0,4.0,2.0,49.2760318,-123.0556976,-6063.696468108784,2428.127309954611,15142.704711822646,7012.0
644900.0,13.376850544998469,1045.2188006482982,Condo,V5N0J5,V5N,cluster-02,617.0,1.0,1.0,49.2625336,-123.0592146,-6062.208694022111,2426.7972166911286,15143.570297968854,
769000.0,13.55284624848778,912.2182680901542,Condo,V5M0G2,V5M,cluster-02,843.0,2.0,2.0,49.2699868,-123.0446769,-6062.4096066732645,2427.531599272174,15139.992513425394,2002.0
2298000.0,14.647549737390838,1511.842105263158,Duplex,V6S1K4,V6S,cluster-03,1520.0,3.0,3.0,49.2521907,-123.1824969,-6067.007828220959,2425.7782887491667,15173.92754251851,8000.0
499000.0,13.120361374733656,900.7220216606498,Condo,V6P6Z1,V6P,cluster-00,554.0,1.0,1.0,49.2035504,-123.1342248,-6058.64103591173,2420.98937196534,15162.037317096934,1558.0
1966900.0,14.491969257237985,1850.3292568203199,Townhouse,V6J5J9,V6J,cluster-01,1063.0,2.0,3.0,49.2649358,-123.1409983,-6066.53337559741,2427.033899378122,15163.705462320604,
1599900.0,14.285451685256803,1756.2019758507136,Townhouse,V6J5J9,V6J,cluster-01,911.0,2.0,3.0,49.2649358,-123.1409983,-6066.53337559741,2427.033899378122,15163.705462320604,
1405900.0,14.156188225067998,1604.9086757990867,Condo,V5K2B5,V5K,cluster-01,876.0,2.0,2.0,49.2649358,-123.1409983,-6066.53337559741,2427.033899378122,15163.705462320604,
1750000.0,14.375126345899696,802.3842274186153,Detached,V5L3P3,V5L,cluster-09,2181.0,6.0,3.0,49.2701553,-123.0751638,-6063.932433998938,2427.5482032861178,15147.495944396831,6646.0
1362900.0,14.125125340415604,1738.392857142857,Condo,V6J5J9,V6J,cluster-01,784.0,2.0,2.0,49.2649358,-123.1409983,-6066.53337559741,2427.033899378122,15163.705462320604,
1399900.0,14.151911363462917,1752.0650813516895,Condo,V6J5J9,V6J,cluster-01,799.0,2.0,2.0,49.2649358,-123.1409983,-6066.53337559741,2427.033899378122,15163.705462320604,
1579900.0,14.27287211186094,1793.3030646992054,Condo,V6J5J9,V6J,cluster-01,881.0,2.0,2.0,49.2649358,-123.1409983,-6066.53337559741,2427.033899378122,15163.705462320604,
893900.0,13.703349191075944,1696.2049335863378,Condo,V6J5J9,V6J,cluster-01,527.0,1.0,1.0,49.2649358,-123.1409983,-6066.53337559741,2427.033899378122,15163.705462320604,
898000.0,13.707925347284336,1427.6629570747218,Condo,V6B0S3,V6B,cluster-01,629.0,1.0,1.0,49.2769244,-123.1232442,-6067.134796326139,2428.215278323315,15159.333262332833,2562.0
2265000.0,14.63308531689927,1670.353982300885,Condo,V6B0S3,V6B,cluster-01,1356.0,3.0,2.0,49.2769244,-123.1232442,-6067.134796326139,2428.215278323315,15159.333262332833,6055.0
559900.0,13.235513475336985,1201.5021459227469,Condo,V5X0C6,V5X,cluster-00,466.0,1.0,1.0,49.209979,-123.1159757,-6058.534578761511,2421.6220331804407,15157.543472562993,1635.0
3799000.0,15.150248432169763,1152.2596299666363,Detached,V6P2E8,V6P,cluster-00,3297.0,8.0,5.0,49.2151005,-123.1407297,-6060.383387828834,2422.1261172251,15163.63931104846,15282.0
